# Snapshot taken on Thu Apr 27 18:30:52 EDT 2017 from: https://en.wikipedia.org/wiki/List_of_United_States_cities_by_population
	City	State	Count (2015)	Census (2010)	Change	Land area (2014) [English]	Land area (2014) [SI]	Population density (2010) [English]	Population density (2010) [SI]	Location
72	Lincoln	Nebraska	277,348	258,379	+7.34%	89.1 sq mi	230.8 km2	2,899 per sq mi	1,119 km−2	40.8090°N 96.6804°W
73	Orlando	Florida	270,934	238,300	+13.69%	102.4 sq mi	265.2 km2	2,327 per sq mi	899 km−2	28.4159°N 81.2988°W
74	Chula Vista	California	265,757	243,916	+8.95%	49.6 sq mi	128.5 km2	4,915 per sq mi	1,898 km−2	32.6277°N 117.0152°W
75	Jersey City	New Jersey	264,290	247,597	+6.74%	14.8 sq mi	38.3 km2	16,737 per sq mi	6,462 km−2	40.7114°N 74.0648°W
76	Chandler	Arizona	260,828	236,123	+10.46%	64.4 sq mi	166.8 km2	3,666 per sq mi	1,415 km−2	33.2829°N 111.8549°W
77	Fort Wayne	Indiana	260,326	253,691	+2.62%	110.6 sq mi	286.5 km2	2,293 per sq mi	885 km−2	41.0882°N 85.1439°W
78	Buffalo	New York	258,071	261,310	−1.24%	40.4 sq mi	104.6 km2	6,471 per sq mi	2,498 km−2	42.8925°N 78.8597°W
79	Durham	North Carolina	257,636	228,330	+12.83%	107.4 sq mi	278.1 km2	2,127 per sq mi	821 km−2	35.9810°N 78.9056°W
80	St. Petersburg	Florida	257,083	244,769	+5.03%	61.7 sq mi	159.9 km2	3,964 per sq mi	1,531 km−2	27.7620°N 82.6441°W
81	Irvine	California	256,927	212,375	+20.98%	66.1 sq mi	171.2 km2	3,213 per sq mi	1,240 km−2	33.6784°N 117.7713°W
82	Laredo	Texas	255,473	236,091	+8.21%	88.9 sq mi	230.3 km2	2,655 per sq mi	1,025 km−2	27.5477°N 99.4869°W
83	Lubbock	Texas	249,042	229,573	+8.48%	122.4 sq mi	317.0 km2	1,875 per sq mi	724 km−2	33.5665°N 101.8867°W
84	Madison	Wisconsin	248,951	233,209	+6.75%	76.8 sq mi	198.9 km2	3,037 per sq mi	1,173 km−2	43.0878°N 89.4301°W
85	Gilbert[20]	Arizona	247,542	208,453	+18.75%	68.0 sq mi	176.0 km2	3,067 per sq mi	1,184 km−2	33.3102°N 111.7422°W
86	Norfolk[15]	Virginia	246,393	242,803	+1.48%	54.1 sq mi	140.2 km2	4,486 per sq mi	1,732 km−2	36.9230°N 76.2446°W
87	Reno	Nevada	241,445	225,221	+7.20%	103.0 sq mi	266.8 km2	2,186 per sq mi	844 km−2	39.4745°N 119.7765°W
88	Winston–Salem	North Carolina	241,218	229,617	+5.05%	132.4 sq mi	343.0 km2	1,734 per sq mi	669 km−2	36.1033°N 80.2606°W
89	Glendale	Arizona	240,126	226,721	+5.91%	60.0 sq mi	155.3 km2	3,780 per sq mi	1,460 km−2	33.5331°N 112.1899°W
90	Hialeah	Florida	237,069	224,669	+5.52%	21.5 sq mi	55.6 km2	10,474 per sq mi	4,044 km−2	25.8699°N 80.3029°W
91	Garland	Texas	236,897	226,876	+4.42%	57.1 sq mi	147.8 km2	3,974 per sq mi	1,535 km−2	32.9098°N 96.6304°W
92	Scottsdale	Arizona	236,839	217,385	+8.95%	183.9 sq mi	476.4 km2	1,182 per sq mi	456 km−2	33.6687°N 111.8237°W
93	Irving	Texas	236,607	216,290	+9.39%	67.0 sq mi	173.6 km2	3,227 per sq mi	1,246 km−2	32.8577°N 96.9700°W
94	Chesapeake[15]	Virginia	235,429	222,209	+5.95%	340.8 sq mi	882.7 km2	652 per sq mi	252 km−2	36.6794°N 76.3018°W
95	North Las Vegas	Nevada	234,807	216,961	+8.23%	101.3 sq mi	262.5 km2	2,141 per sq mi	827 km−2	36.2830°N 115.0893°W
96	Fremont	California	232,206	214,089	+8.46%	77.5 sq mi	200.6 km2	2,764 per sq mi	1,067 km−2	37.4944°N 121.9411°W
97	Baton Rouge[21]	Louisiana	228,590	229,493	−0.39%	76.9 sq mi	199.3 km2	2,982 per sq mi	1,152 km−2	30.4485°N 91.1259°W
98	Richmond[15]	Virginia	220,289	204,214	+7.87%	59.8 sq mi	154.9 km2	3,415 per sq mi	1,318 km−2	37.5314°N 77.4760°W
99	Boise[22]	Idaho	218,281	205,671	+6.13%	79.4 sq mi	205.56 km2	2,592 per sq mi	1,001 km−2	43.5985°N 116.2311°W
100	San Bernardino	California	216,108	209,924	+2.95%	59.2 sq mi	153.3 km2	3,546 per sq mi	1,369 km−2	34.1393°N 117.2953°W
101	Spokane	Washington	213,272	208,916	+2.09%	59.2 sq mi	153.4 km2	3,526 per sq mi	1,361 km−2	47.6736°N 117.4166°W
102	Birmingham	Alabama	212,461	212,237	+0.11%	146.1 sq mi	378.3 km2	1,453 per sq mi	561 km−2	33.5274°N 86.7990°W
103	Modesto	California	211,266	201,165	+5.02%	36.9 sq mi	95.5 km2	5,456 per sq mi	2,107 km−2	37.6609°N 120.9891°W
104	Des Moines	Iowa	210,330	203,433	+3.39%	80.9 sq mi	209.5 km2	2,516 per sq mi	971 km−2	41.5739°N 93.6167°W
105	Rochester	New York	209,802	210,565	−0.36%	35.8 sq mi	92.7 km2	5,885 per sq mi	2,272 km−2	43.1699°N 77.6169°W
106	Tacoma	Washington	207,948	198,397	+4.81%	49.7 sq mi	128.8 km2	3,990 per sq mi	1,541 km−2	47.2522°N 122.4598°W
107	Fontana	California	207,460	196,069	+5.81%	42.4 sq mi	109.9 km2	4,621 per sq mi	1,784 km−2	34.1088°N 117.4627°W
108	Oxnard	California	207,254	197,899	+4.73%	26.9 sq mi	69.7 km2	7,358 per sq mi	2,841 km−2	34.2023°N 119.2046°W
109	Moreno Valley	California	204,198	193,365	+5.60%	51.3 sq mi	132.8 km2	3,771 per sq mi	1,456 km−2	33.9233°N 117.2057°W
110	Fayetteville	North Carolina	201,963	200,564	+0.70%	145.8 sq mi	377.7 km2	1,375 per sq mi	531 km−2	35.0851°N 78.9803°W
111	Huntington Beach	California	201,899	189,992	+6.27%	26.7 sq mi	69.3 km2	7,103 per sq mi	2,742 km−2	33.6906°N 118.0093°W
